name,type,location,price,duration,rating,source,review_text
Resort Hotel — booking 12679,hotel,ISR,200.0,5.0,4.6,kaggle:hotel_booking_demand,
City Hotel — booking 110413,hotel,PRT,89.1,3.0,4.7,kaggle:hotel_booking_demand,
City Hotel — booking 105237,hotel,AUT,98.0,2.0,3.8,kaggle:hotel_booking_demand,
City Hotel — booking 115248,hotel,GBR,98.4,4.0,4.6,kaggle:hotel_booking_demand,
Resort Hotel — booking 15131,hotel,PRT,143.5,14.0,4.1,kaggle:hotel_booking_demand,
City Hotel — booking 102059,hotel,FRA,73.35,2.0,4.7,kaggle:hotel_booking_demand,
City Hotel — booking 114186,hotel,FRA,117.0,2.0,3.2,kaggle:hotel_booking_demand,
Resort Hotel — booking 39825,hotel,ESP,224.0,4.0,4.5,kaggle:hotel_booking_demand,
City Hotel — booking 41009,hotel,PRT,75.0,5.0,4.3,kaggle:hotel_booking_demand,
Resort Hotel — booking 36693,hotel,FRA,83.2,6.0,3.8,kaggle:hotel_booking_demand,
Resort Hotel — booking 11011,hotel,FIN,91.35,4.0,4.4,kaggle:hotel_booking_demand,
Resort Hotel — booking 16440,hotel,PRT,234.67,6.0,4.5,kaggle:hotel_booking_demand,
City Hotel — booking 57291,hotel,GAB,159.0,1.0,4.4,kaggle:hotel_booking_demand,
Resort Hotel — booking 11215,hotel,PRT,125.0,2.0,4.3,kaggle:hotel_booking_demand,
Resort Hotel — booking 22101,hotel,PRT,42.0,1.0,4.8,kaggle:hotel_booking_demand,
City Hotel — booking 103953,hotel,PRT,65.0,2.0,4.5,kaggle:hotel_booking_demand,
Resort Hotel — booking 19930,hotel,CN,54.0,2.0,4.7,kaggle:hotel_booking_demand,
Resort Hotel — booking 28852,hotel,FRA,56.0,1.0,4.6,kaggle:hotel_booking_demand,
City Hotel — booking 64568,hotel,PRT,80.0,2.0,4.4,kaggle:hotel_booking_demand,
Budget Stay London,hostel,London,65.0,1.0,3.8,booking:export_sample,Good value for money.
City Hotel — booking 70833,hotel,PRT,105.0,3.0,3.8,kaggle:hotel_booking_demand,
City Hotel — booking 99635,hotel,FRA,80.0,3.0,3.2,kaggle:hotel_booking_demand,
Resort Hotel — booking 6307,hotel,PRT,148.0,5.0,4.8,kaggle:hotel_booking_demand,
Resort Hotel — booking 2677,hotel,IRL,34.56,10.0,4.6,kaggle:hotel_booking_demand,
City Hotel — booking 74104,hotel,PRT,62.0,2.0,4.6,kaggle:hotel_booking_demand,
City Hotel — booking 68099,hotel,PRT,244.86,9.0,4.5,kaggle:hotel_booking_demand,
City Hotel — booking 65848,hotel,PRT,80.0,2.0,4.8,kaggle:hotel_booking_demand,
City Hotel — booking 105510,hotel,FRA,90.1,4.0,4.3,kaggle:hotel_booking_demand,
City Hotel — booking 108222,hotel,FRA,98.0,3.0,4.6,kaggle:hotel_booking_demand,
Resort Hotel — booking 28462,hotel,PRT,99.0,3.0,4.6,kaggle:hotel_booking_demand,
Resort Hotel — booking 32695,hotel,DEU,72.0,2.0,4.5,kaggle:hotel_booking_demand,
Resort Hotel — booking 37391,hotel,GBR,78.55,7.0,4.4,kaggle:hotel_booking_demand,
Resort Hotel — booking 39589,hotel,PRT,268.3,1.0,4.2,kaggle:hotel_booking_demand,
Resort Hotel — booking 36618,hotel,GBR,90.0,10.0,4.9,kaggle:hotel_booking_demand,
City Hotel — booking 65091,hotel,ITA,90.0,2.0,4.5,kaggle:hotel_booking_demand,
City Hotel — booking 103935,hotel,FRA,161.67,3.0,4.6,kaggle:hotel_booking_demand,
City Hotel — booking 80389,hotel,PRT,90.0,2.0,4.5,kaggle:hotel_booking_demand,
Resort Hotel — booking 9870,hotel,IRL,93.0,4.0,3.8,kaggle:hotel_booking_demand,
Resort Hotel — booking 26351,hotel,PRT,156.6,7.0,3.9,kaggle:hotel_booking_demand,
City Hotel — booking 58992,hotel,PRT,62.0,2.0,4.2,kaggle:hotel_booking_demand,
City Hotel — booking 86867,hotel,FRA,65.0,2.0,4.3,kaggle:hotel_booking_demand,
Resort Hotel — booking 29408,hotel,GBR,95.53,3.0,4.6,kaggle:hotel_booking_demand,
City Hotel — booking 95582,hotel,ESP,156.0,3.0,4.8,kaggle:hotel_booking_demand,
Resort Hotel — booking 11203,hotel,FIN,81.0,5.0,4.2,kaggle:hotel_booking_demand,
City Hotel — booking 57273,hotel,GBR,113.4,3.0,4.7,kaggle:hotel_booking_demand,
Resort Hotel — booking 535,hotel,ESP,135.0,8.0,4.4,kaggle:hotel_booking_demand,
City Hotel — booking 42875,hotel,PRT,60.0,2.0,4.8,kaggle:hotel_booking_demand,
City Hotel — booking 118168,hotel,FRA,175.0,3.0,4.9,kaggle:hotel_booking_demand,
City Hotel — booking 51507,hotel,PRT,140.0,2.0,4.5,kaggle:hotel_booking_demand,
City Hotel — booking 118747,hotel,BRA,111.2,1.0,4.7,kaggle:hotel_booking_demand,
Resort Hotel — booking 1501,hotel,PRT,93.12,5.0,4.6,kaggle:hotel_booking_demand,
City Hotel — booking 90376,hotel,ITA,189.9,3.0,4.8,kaggle:hotel_booking_demand,
Resort Hotel — booking 4134,hotel,GBR,50.4,6.0,4.6,kaggle:hotel_booking_demand,
City Hotel — booking 108107,hotel,FRA,79.2,4.0,4.5,kaggle:hotel_booking_demand,
City Hotel — booking 106933,hotel,FRA,133.2,1.0,4.5,kaggle:hotel_booking_demand,
Resort Hotel — booking 2536,hotel,PRT,95.0,2.0,4.7,kaggle:hotel_booking_demand,
City Hotel — booking 60075,hotel,PRT,75.0,1.0,4.9,kaggle:hotel_booking_demand,
Resort Hotel — booking 23160,hotel,GBR,47.9,7.0,4.6,kaggle:hotel_booking_demand,
Resort Hotel — booking 16390,hotel,PRT,27.0,4.0,4.4,kaggle:hotel_booking_demand,
Resort Hotel — booking 14606,hotel,,77.0,4.0,4.8,kaggle:hotel_booking_demand,
Resort Hotel — booking 26142,hotel,GBR,104.55,7.0,4.1,kaggle:hotel_booking_demand,
City Hotel — booking 43804,hotel,PRT,185.0,4.0,4.6,kaggle:hotel_booking_demand,
City Hotel — booking 48703,hotel,PRT,86.4,6.0,4.9,kaggle:hotel_booking_demand,
City Hotel — booking 59678,hotel,PRT,106.0,3.0,4.5,kaggle:hotel_booking_demand,
Resort Hotel — booking 21444,hotel,ESP,48.0,2.0,4.6,kaggle:hotel_booking_demand,
City Hotel — booking 75211,hotel,PRT,62.0,2.0,3.8,kaggle:hotel_booking_demand,
City Hotel — booking 89819,hotel,ISR,89.25,1.0,4.1,kaggle:hotel_booking_demand,
City Hotel — booking 65827,hotel,PRT,100.0,2.0,4.6,kaggle:hotel_booking_demand,
Resort Hotel — booking 24959,hotel,PRT,110.0,1.0,3.9,kaggle:hotel_booking_demand,
City Hotel — booking 59780,hotel,PRT,110.0,3.0,4.3,kaggle:hotel_booking_demand,
Resort Hotel — booking 16637,hotel,ESP,103.05,4.0,4.5,kaggle:hotel_booking_demand,
Resort Hotel — booking 19052,hotel,PRT,48.0,1.0,3.9,kaggle:hotel_booking_demand,
Resort Hotel — booking 31882,hotel,PRT,48.0,5.0,4.0,kaggle:hotel_booking_demand,
City Hotel — booking 75350,hotel,PRT,62.0,2.0,4.5,kaggle:hotel_booking_demand,
City Hotel — booking 57433,hotel,DEU,107.0,3.0,4.7,kaggle:hotel_booking_demand,
Resort Hotel — booking 4328,hotel,PRT,82.0,21.0,4.7,kaggle:hotel_booking_demand,
Resort Hotel — booking 35198,hotel,ESP,82.5,4.0,5.0,kaggle:hotel_booking_demand,
Resort Hotel — booking 38535,hotel,PRT,281.0,5.0,4.5,kaggle:hotel_booking_demand,
City Hotel — booking 66015,hotel,ROU,180.0,2.0,4.8,kaggle:hotel_booking_demand,
City Hotel — booking 74301,hotel,PRT,62.8,3.0,4.5,kaggle:hotel_booking_demand,
City Hotel — booking 77168,hotel,PRT,170.0,5.0,4.8,kaggle:hotel_booking_demand,
City Hotel — booking 88962,hotel,PRT,0.0,1.0,4.6,kaggle:hotel_booking_demand,
City Hotel — booking 85709,hotel,PRT,70.0,2.0,4.8,kaggle:hotel_booking_demand,
Resort Hotel — booking 39128,hotel,PRT,219.0,2.0,4.4,kaggle:hotel_booking_demand,
City Hotel — booking 43454,hotel,PRT,109.0,2.0,4.5,kaggle:hotel_booking_demand,
City Hotel — booking 101553,hotel,FRA,88.46,3.0,4.7,kaggle:hotel_booking_demand,
City Hotel — booking 43140,hotel,PRT,65.0,3.0,4.2,kaggle:hotel_booking_demand,
City Hotel — booking 48917,hotel,GBR,107.1,2.0,4.5,kaggle:hotel_booking_demand,
Resort Hotel — booking 29333,hotel,ROU,78.0,2.0,4.7,kaggle:hotel_booking_demand,
City Hotel — booking 100380,hotel,PRT,75.54,1.0,4.8,kaggle:hotel_booking_demand,
City Hotel — booking 56672,hotel,PRT,90.0,3.0,3.5,kaggle:hotel_booking_demand,
City Hotel — booking 69026,hotel,CHE,138.6,4.0,4.7,kaggle:hotel_booking_demand,
City Hotel — booking 78680,hotel,PRT,111.0,3.0,4.7,kaggle:hotel_booking_demand,
City Hotel — booking 66281,hotel,PRT,100.0,3.0,4.3,kaggle:hotel_booking_demand,
City Hotel — booking 41633,hotel,PRT,63.75,1.0,4.9,kaggle:hotel_booking_demand,
Resort Hotel — booking 11430,hotel,CHE,90.0,7.0,4.9,kaggle:hotel_booking_demand,
Resort Hotel — booking 1599,hotel,ESP,111.5,7.0,4.6,kaggle:hotel_booking_demand,
Resort Hotel — booking 35421,hotel,IRL,74.25,1.0,4.5,kaggle:hotel_booking_demand,
City Hotel — booking 104492,hotel,FRA,120.67,3.0,4.5,kaggle:hotel_booking_demand,
City Hotel — booking 95550,hotel,GBR,168.3,1.0,4.8,kaggle:hotel_booking_demand,
City Hotel — booking 106791,hotel,NLD,76.16,4.0,4.8,kaggle:hotel_booking_demand,
City Hotel — booking 60536,hotel,FRA,88.4,6.0,4.8,kaggle:hotel_booking_demand,
City Hotel — booking 106291,hotel,ESP,65.0,2.0,4.9,kaggle:hotel_booking_demand,
City Hotel — booking 68859,hotel,USA,195.0,1.0,4.1,kaggle:hotel_booking_demand,
City Hotel — booking 63387,hotel,FRA,74.8,4.0,4.9,kaggle:hotel_booking_demand,
Resort Hotel — booking 21700,hotel,PRT,84.8,1.0,4.7,kaggle:hotel_booking_demand,
City Hotel — booking 42489,hotel,ESP,75.0,2.0,3.5,kaggle:hotel_booking_demand,
City Hotel — booking 100089,hotel,FRA,95.0,2.0,4.6,kaggle:hotel_booking_demand,
City Hotel — booking 60228,hotel,PRT,100.0,3.0,4.7,kaggle:hotel_booking_demand,
City Hotel — booking 59688,hotel,AGO,92.0,5.0,4.6,kaggle:hotel_booking_demand,
City Hotel — booking 100443,hotel,DEU,128.0,1.0,4.6,kaggle:hotel_booking_demand,
City Hotel — booking 99001,hotel,FRA,152.98,5.0,4.8,kaggle:hotel_booking_demand,
City Hotel — booking 84798,hotel,ESP,56.0,3.0,4.4,kaggle:hotel_booking_demand,
City Hotel — booking 58526,hotel,PRT,95.0,3.0,4.2,kaggle:hotel_booking_demand,
City Hotel — booking 81053,hotel,PRT,75.0,1.0,5.0,kaggle:hotel_booking_demand,
City Hotel — booking 88519,hotel,FRA,76.0,4.0,4.9,kaggle:hotel_booking_demand,
Resort Hotel — booking 37331,hotel,BEL,95.0,7.0,4.2,kaggle:hotel_booking_demand,
City Hotel — booking 101165,hotel,CHE,79.2,3.0,4.2,kaggle:hotel_booking_demand,
City Hotel — booking 61504,hotel,PRT,62.8,2.0,5.0,kaggle:hotel_booking_demand,
City Hotel — booking 93446,hotel,GBR,85.0,1.0,4.3,kaggle:hotel_booking_demand,
City Hotel — booking 56043,hotel,ITA,96.3,3.0,4.2,kaggle:hotel_booking_demand,
City Hotel — booking 113241,hotel,GBR,157.5,1.0,4.1,kaggle:hotel_booking_demand,
City Hotel — booking 94856,hotel,FRA,105.3,2.0,4.4,kaggle:hotel_booking_demand,
City Hotel — booking 45691,hotel,PRT,75.0,3.0,3.2,kaggle:hotel_booking_demand,
City Hotel — booking 97648,hotel,FRA,65.0,2.0,4.3,kaggle:hotel_booking_demand,
City Hotel — booking 60849,hotel,PRT,62.8,2.0,4.2,kaggle:hotel_booking_demand,
City Hotel — booking 48197,hotel,ESP,189.0,2.0,4.7,kaggle:hotel_booking_demand,
Resort Hotel — booking 5759,hotel,NOR,135.0,5.0,4.5,kaggle:hotel_booking_demand,
City Hotel — booking 98140,hotel,DEU,218.72,3.0,4.1,kaggle:hotel_booking_demand,
City Hotel — booking 66166,hotel,ITA,171.0,2.0,4.6,kaggle:hotel_booking_demand,
City Hotel — booking 47365,hotel,FRA,130.33,3.0,3.5,kaggle:hotel_booking_demand,
City Hotel — booking 56942,hotel,IRN,135.0,5.0,4.9,kaggle:hotel_booking_demand,
Resort Hotel — booking 729,hotel,PRT,145.0,3.0,3.8,kaggle:hotel_booking_demand,
Resort Hotel — booking 8798,hotel,GBR,80.81,7.0,4.2,kaggle:hotel_booking_demand,
Resort Hotel — booking 29923,hotel,POL,60.0,2.0,4.8,kaggle:hotel_booking_demand,
City Hotel — booking 110177,hotel,ISL,124.0,4.0,4.4,kaggle:hotel_booking_demand,
City Hotel — booking 109902,hotel,PRT,95.0,2.0,4.8,kaggle:hotel_booking_demand,
City Hotel — booking 64653,hotel,PRT,65.0,3.0,3.8,kaggle:hotel_booking_demand,
City Hotel — booking 72625,hotel,IRL,125.0,4.0,4.7,kaggle:hotel_booking_demand,
City Hotel — booking 112621,hotel,DEU,199.0,4.0,3.8,kaggle:hotel_booking_demand,
Resort Hotel — booking 15921,hotel,PRT,71.55,7.0,4.4,kaggle:hotel_booking_demand,
Resort Hotel — booking 7041,hotel,PRT,160.0,12.0,4.6,kaggle:hotel_booking_demand,
City Hotel — booking 103013,hotel,PRT,202.0,1.0,4.7,kaggle:hotel_booking_demand,
City Hotel — booking 67970,hotel,PRT,123.3,2.0,4.7,kaggle:hotel_booking_demand,
Resort Hotel — booking 36079,hotel,IRL,42.0,7.0,3.5,kaggle:hotel_booking_demand,
City Hotel — booking 55131,hotel,ITA,99.45,4.0,3.5,kaggle:hotel_booking_demand,
City Hotel — booking 58353,hotel,CHN,97.2,2.0,4.3,kaggle:hotel_booking_demand,
Resort Hotel — booking 11287,hotel,PRT,80.85,11.0,4.4,kaggle:hotel_booking_demand,
City Hotel — booking 53099,hotel,PRT,130.0,2.0,4.5,kaggle:hotel_booking_demand,
City Hotel — booking 105162,hotel,PRT,75.0,1.0,4.7,kaggle:hotel_booking_demand,
Resort Hotel — booking 20735,hotel,PRT,56.67,3.0,4.5,kaggle:hotel_booking_demand,
Resort Hotel — booking 21322,hotel,NLD,64.0,5.0,4.6,kaggle:hotel_booking_demand,
City Hotel — booking 88536,hotel,FRA,119.0,3.0,4.7,kaggle:hotel_booking_demand,
City Hotel — booking 61373,hotel,ITA,112.5,3.0,3.9,kaggle:hotel_booking_demand,
City Hotel — booking 99926,hotel,FRA,85.0,4.0,4.7,kaggle:hotel_booking_demand,
Resort Hotel — booking 11072,hotel,PRT,54.0,1.0,4.8,kaggle:hotel_booking_demand,
City Hotel — booking 114420,hotel,BRA,120.0,3.0,4.6,kaggle:hotel_booking_demand,
City Hotel — booking 113945,hotel,IND,114.8,2.0,4.6,kaggle:hotel_booking_demand,
Resort Hotel — booking 10346,hotel,PRT,35.0,2.0,4.5,kaggle:hotel_booking_demand,
Resort Hotel — booking 37294,hotel,GBR,85.7,7.0,4.5,kaggle:hotel_booking_demand,
City Hotel — booking 83240,hotel,PRT,59.0,1.0,4.8,kaggle:hotel_booking_demand,
City Hotel — booking 100376,hotel,PRT,120.0,1.0,4.9,kaggle:hotel_booking_demand,
Resort Hotel — booking 31757,hotel,PRT,58.0,1.0,3.8,kaggle:hotel_booking_demand,
City Hotel — booking 85583,hotel,DEU,63.58,5.0,4.4,kaggle:hotel_booking_demand,
City Hotel — booking 77530,hotel,ESP,120.0,3.0,4.9,kaggle:hotel_booking_demand,
City Hotel — booking 118712,hotel,BRA,90.7,4.0,4.8,kaggle:hotel_booking_demand,
Resort Hotel — booking 18796,hotel,PRT,43.0,2.0,4.5,kaggle:hotel_booking_demand,
Resort Hotel — booking 14253,hotel,,134.0,5.0,4.5,kaggle:hotel_booking_demand,
City Hotel — booking 68691,hotel,PRT,225.0,4.0,4.6,kaggle:hotel_booking_demand,
Resort Hotel — booking 20963,hotel,PRT,78.0,1.0,4.7,kaggle:hotel_booking_demand,
City Hotel — booking 96018,hotel,CZE,100.0,3.0,4.9,kaggle:hotel_booking_demand,
City Hotel — booking 79587,hotel,PRT,135.0,1.0,3.9,kaggle:hotel_booking_demand,
Resort Hotel — booking 16867,hotel,ESP,80.0,2.0,3.8,kaggle:hotel_booking_demand,
Resort Hotel — booking 15323,hotel,IRL,63.4,7.0,4.6,kaggle:hotel_booking_demand,
City Hotel — booking 45190,hotel,PRT,94.5,3.0,3.2,kaggle:hotel_booking_demand,
City Hotel — booking 96655,hotel,GBR,80.75,3.0,4.1,kaggle:hotel_booking_demand,
City Hotel — booking 62545,hotel,PRT,75.0,1.0,4.5,kaggle:hotel_booking_demand,
City Hotel — booking 44230,hotel,PRT,100.0,2.0,4.8,kaggle:hotel_booking_demand,
Resort Hotel — booking 24156,hotel,PRT,85.0,7.0,4.3,kaggle:hotel_booking_demand,
City Hotel — booking 93850,hotel,AUT,77.03,3.0,3.5,kaggle:hotel_booking_demand,
Resort Hotel — booking 24051,hotel,DEU,59.0,1.0,4.6,kaggle:hotel_booking_demand,
City Hotel — booking 49547,hotel,FRA,109.8,4.0,4.7,kaggle:hotel_booking_demand,
Resort Hotel — booking 30649,hotel,POL,45.0,2.0,4.8,kaggle:hotel_booking_demand,
City Hotel — booking 70653,hotel,AUS,99.0,1.0,4.3,kaggle:hotel_booking_demand,
City Hotel — booking 82792,hotel,PRT,75.0,2.0,4.1,kaggle:hotel_booking_demand,
City Hotel — booking 48199,hotel,ITA,147.0,2.0,4.7,kaggle:hotel_booking_demand,
Resort Hotel — booking 8600,hotel,PRT,48.0,4.0,4.5,kaggle:hotel_booking_demand,
City Hotel — booking 57379,hotel,DEU,146.96,7.0,5.0,kaggle:hotel_booking_demand,
City Hotel — booking 57236,hotel,PRT,62.0,2.0,4.9,kaggle:hotel_booking_demand,
Resort Hotel — booking 32014,hotel,PRT,68.0,1.0,3.9,kaggle:hotel_booking_demand,
City Hotel — booking 41050,hotel,ESP,105.0,3.0,4.8,kaggle:hotel_booking_demand,
City Hotel — booking 96406,hotel,IRL,97.6,2.0,3.5,kaggle:hotel_booking_demand,
City Hotel — booking 89039,hotel,CN,90.0,2.0,4.3,kaggle:hotel_booking_demand,
City Hotel — booking 74863,hotel,PRT,60.0,1.0,4.5,kaggle:hotel_booking_demand,
Resort Hotel — booking 19503,hotel,GBR,91.9,5.0,4.1,kaggle:hotel_booking_demand,
City Hotel — booking 91038,hotel,SRB,111.0,1.0,4.5,kaggle:hotel_booking_demand,
Resort Hotel — booking 12693,hotel,ESP,210.0,3.0,4.5,kaggle:hotel_booking_demand,
Resort Hotel — booking 4337,hotel,PRT,82.0,21.0,4.7,kaggle:hotel_booking_demand,
City Hotel — booking 79574,hotel,GBR,83.16,5.0,4.6,kaggle:hotel_booking_demand,
City Hotel — booking 105818,hotel,DEU,88.0,2.0,4.3,kaggle:hotel_booking_demand,
City Hotel — booking 63269,hotel,CHN,93.6,3.0,4.6,kaggle:hotel_booking_demand,
City Hotel — booking 72993,hotel,ITA,130.5,4.0,4.4,kaggle:hotel_booking_demand,
Resort Hotel — booking 31323,hotel,GBR,78.0,10.0,4.3,kaggle:hotel_booking_demand,
City Hotel — booking 63995,hotel,BEL,110.45,8.0,4.5,kaggle:hotel_booking_demand,
City Hotel — booking 79605,hotel,GBR,75.0,3.0,4.6,kaggle:hotel_booking_demand,
City Hotel — booking 105746,hotel,PRT,128.0,1.0,4.5,kaggle:hotel_booking_demand,
City Hotel — booking 74314,hotel,PRT,62.8,3.0,3.9,kaggle:hotel_booking_demand,
City Hotel — booking 101205,hotel,NLD,148.75,4.0,4.5,kaggle:hotel_booking_demand,
City Hotel — booking 118681,hotel,CZE,120.0,3.0,4.7,kaggle:hotel_booking_demand,
City Hotel — booking 114935,hotel,SWE,180.0,6.0,4.8,kaggle:hotel_booking_demand,
City Hotel — booking 84900,hotel,ITA,117.3,1.0,4.7,kaggle:hotel_booking_demand,
City Hotel — booking 69937,hotel,PRT,170.0,3.0,4.1,kaggle:hotel_booking_demand,
City Hotel — booking 106612,hotel,PRT,140.8,2.0,4.7,kaggle:hotel_booking_demand,
Resort Hotel — booking 24269,hotel,GBR,70.0,1.0,4.6,kaggle:hotel_booking_demand,
City Hotel — booking 65276,hotel,ITA,86.9,4.0,4.8,kaggle:hotel_booking_demand,
City Hotel — booking 118912,hotel,NLD,225.48,4.0,4.3,kaggle:hotel_booking_demand,
City Hotel — booking 64505,hotel,PRT,80.0,2.0,4.5,kaggle:hotel_booking_demand,
City Hotel — booking 106494,hotel,PRT,75.0,1.0,4.6,kaggle:hotel_booking_demand,
City Hotel — booking 114499,hotel,FRA,117.0,4.0,4.0,kaggle:hotel_booking_demand,
City Hotel — booking 102272,hotel,ROU,71.1,1.0,4.2,kaggle:hotel_booking_demand,
City Hotel — booking 90515,hotel,DEU,115.0,2.0,4.7,kaggle:hotel_booking_demand,
City Hotel — booking 80129,hotel,PRT,65.0,2.0,4.3,kaggle:hotel_booking_demand,
City Hotel — booking 80838,hotel,PRT,81.0,1.0,4.9,kaggle:hotel_booking_demand,
City Hotel — booking 86065,hotel,ESP,174.0,3.0,4.5,kaggle:hotel_booking_demand,
City Hotel — booking 48200,hotel,PRT,75.0,2.0,4.9,kaggle:hotel_booking_demand,
Resort Hotel — booking 20076,hotel,CN,36.96,1.0,4.6,kaggle:hotel_booking_demand,
Resort Hotel — booking 23265,hotel,PRT,50.0,1.0,4.7,kaggle:hotel_booking_demand,
City Hotel — booking 110826,hotel,BRA,139.5,1.0,3.8,kaggle:hotel_booking_demand,
City Hotel — booking 85437,hotel,FRA,85.0,3.0,4.8,kaggle:hotel_booking_demand,
Resort Hotel — booking 15934,hotel,PRT,120.6,7.0,4.7,kaggle:hotel_booking_demand,
City Hotel — booking 101651,hotel,FRA,106.21,6.0,4.6,kaggle:hotel_booking_demand,
City Hotel — booking 51414,hotel,PRT,80.0,4.0,4.6,kaggle:hotel_booking_demand,
City Hotel — booking 97395,hotel,ESP,130.0,2.0,4.7,kaggle:hotel_booking_demand,
Resort Hotel — booking 10499,hotel,POL,105.0,5.0,4.5,kaggle:hotel_booking_demand,
Resort Hotel — booking 6226,hotel,PRT,79.84,14.0,4.3,kaggle:hotel_booking_demand,
City Hotel — booking 46850,hotel,CZE,80.0,1.0,4.5,kaggle:hotel_booking_demand,
Resort Hotel — booking 14668,hotel,,42.0,1.0,4.7,kaggle:hotel_booking_demand,
City Hotel — booking 112842,hotel,PRT,128.0,2.0,4.5,kaggle:hotel_booking_demand,
City Hotel — booking 118892,hotel,AUT,122.4,2.0,4.7,kaggle:hotel_booking_demand,
Resort Hotel — booking 8835,hotel,PRT,37.0,3.0,4.5,kaggle:hotel_booking_demand,
Resort Hotel — booking 22565,hotel,ROU,110.0,4.0,4.2,kaggle:hotel_booking_demand,
Resort Hotel — booking 2011,hotel,DEU,94.5,1.0,4.8,kaggle:hotel_booking_demand,
City Hotel — booking 115397,hotel,DEU,91.5,2.0,4.4,kaggle:hotel_booking_demand,
City Hotel — booking 113494,hotel,DEU,68.88,4.0,5.0,kaggle:hotel_booking_demand,
City Hotel — booking 41720,hotel,NLD,98.0,2.0,4.8,kaggle:hotel_booking_demand,
City Hotel — booking 87013,hotel,DEU,78.0,5.0,3.9,kaggle:hotel_booking_demand,
Resort Hotel — booking 9945,hotel,PRT,32.0,1.0,4.5,kaggle:hotel_booking_demand,
Resort Hotel — booking 33446,hotel,ITA,42.0,5.0,4.4,kaggle:hotel_booking_demand,
City Hotel — booking 111104,hotel,FIN,95.46,7.0,4.5,kaggle:hotel_booking_demand,
City Hotel — booking 94308,hotel,PRT,65.0,1.0,4.0,kaggle:hotel_booking_demand,
City Hotel — booking 64229,hotel,PRT,95.0,3.0,4.7,kaggle:hotel_booking_demand,
City Hotel — booking 100534,hotel,FRA,99.2,4.0,4.6,kaggle:hotel_booking_demand,
Resort Hotel — booking 31182,hotel,PRT,39.0,1.0,3.8,kaggle:hotel_booking_demand,
City Hotel — booking 57256,hotel,PRT,62.0,2.0,4.9,kaggle:hotel_booking_demand,
Resort Hotel — booking 32117,hotel,PRT,35.0,1.0,4.3,kaggle:hotel_booking_demand,
Resort Hotel — booking 16487,hotel,PRT,176.67,6.0,4.4,kaggle:hotel_booking_demand,
Resort Hotel — booking 9082,hotel,ESP,78.0,3.0,4.3,kaggle:hotel_booking_demand,
Resort Hotel — booking 34775,hotel,ESP,140.6,2.0,5.0,kaggle:hotel_booking_demand,
City Hotel — booking 106325,hotel,ESP,65.0,3.0,4.6,kaggle:hotel_booking_demand,
City Hotel — booking 62061,hotel,ITA,70.55,4.0,4.6,kaggle:hotel_booking_demand,
City Hotel — booking 44388,hotel,PRT,112.2,2.0,4.3,kaggle:hotel_booking_demand,
City Hotel — booking 84790,hotel,PRT,88.0,1.0,4.5,kaggle:hotel_booking_demand,
City Hotel — booking 50412,hotel,GBR,121.5,2.0,3.5,kaggle:hotel_booking_demand,
City Hotel — booking 64369,hotel,ROU,88.4,4.0,4.9,kaggle:hotel_booking_demand,
Resort Hotel — booking 28969,hotel,GBR,101.0,6.0,4.2,kaggle:hotel_booking_demand,
