name,type,location,price,duration,rating,source,review_text,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,cost_per_day,cluster,cluster_label
City Hotel — booking 90380,hotel,FRA,121.0,1.0,4.5,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,121.0,1,mid-range
Resort Hotel — booking 37109,hotel,GBR,80.1,5.0,4.2,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,16.02,0,budget
City Hotel — booking 102856,hotel,DZA,104.0,3.0,3.5,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,34.666666666666664,1,mid-range
City Hotel — booking 93922,hotel,NLD,137.7,1.0,4.7,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,137.7,2,premium
City Hotel — booking 115678,hotel,USA,89.67,3.0,5.0,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,29.89,0,budget
City Hotel — booking 46681,hotel,DZA,80.3,3.0,4.6,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,26.766666666666666,0,budget
City Hotel — booking 64677,hotel,PRT,110.0,2.0,4.4,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,55.0,1,mid-range
City Hotel — booking 72055,hotel,NLD,161.28,5.0,4.6,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,32.256,1,mid-range
City Hotel — booking 57568,hotel,CHN,128.99,4.0,3.2,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,32.2475,1,mid-range
City Hotel — booking 110998,hotel,ESP,120.0,3.0,4.9,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,40.0,1,mid-range
City Hotel — booking 100624,hotel,ESP,100.0,2.0,4.1,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,50.0,1,mid-range
City Hotel — booking 49123,hotel,PRT,75.0,1.0,4.7,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,75.0,1,mid-range
City Hotel — booking 112784,hotel,NLD,144.0,2.0,4.6,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,72.0,1,mid-range
City Hotel — booking 96642,hotel,GBR,84.43,4.0,4.7,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,21.1075,0,budget
City Hotel — booking 103397,hotel,FRA,68.07,4.0,4.9,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,17.0175,0,budget
City Hotel — booking 40733,hotel,FRA,76.5,5.0,4.8,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,15.3,0,budget
Resort Hotel — booking 9369,hotel,GBR,42.4,7.0,4.6,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,6.057142857142857,0,budget
Resort Hotel — booking 7352,hotel,PRT,259.0,2.0,4.4,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,129.5,2,premium
Resort Hotel — booking 38133,hotel,FRA,160.0,3.0,3.5,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,53.333333333333336,1,mid-range
City Hotel — booking 100042,hotel,RUS,108.0,2.0,3.8,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,54.0,1,mid-range
Resort Hotel — booking 34117,hotel,POL,48.9,6.0,4.9,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,8.15,0,budget
City Hotel — booking 110298,hotel,FRA,153.9,5.0,4.1,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,30.78,1,mid-range
City Hotel — booking 107689,hotel,DEU,92.5,2.0,3.8,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,46.25,1,mid-range
City Hotel — booking 88751,hotel,PRT,89.0,3.0,4.5,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,29.666666666666668,0,budget
City Hotel — booking 97583,hotel,PER,108.0,5.0,4.7,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,21.6,1,mid-range
Resort Hotel — booking 30276,hotel,IRL,57.39,7.0,4.5,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,8.198571428571428,0,budget
City Hotel — booking 73130,hotel,GBR,198.0,2.0,3.9,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,99.0,2,premium
Resort Hotel — booking 37509,hotel,GBR,86.7,5.0,4.6,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,17.34,0,budget
Resort Hotel — booking 28067,hotel,GBR,73.5,4.0,3.9,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,18.375,0,budget
City Hotel — booking 110958,hotel,DEU,89.1,3.0,4.6,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,29.7,0,budget
City Hotel — booking 60087,hotel,PRT,75.0,1.0,4.7,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,75.0,1,mid-range
City Hotel — booking 60167,hotel,PRT,100.0,3.0,4.8,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,33.333333333333336,1,mid-range
Resort Hotel — booking 36662,hotel,GBR,60.0,3.0,4.0,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,20.0,0,budget
Resort Hotel — booking 1625,hotel,PRT,131.0,6.0,4.6,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,21.833333333333332,1,mid-range
City Hotel — booking 110249,hotel,DEU,75.0,4.0,4.2,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,18.75,0,budget
Resort Hotel — booking 2585,hotel,BEL,76.0,3.0,3.5,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,25.333333333333332,0,budget
Resort Hotel — booking 31079,hotel,FIN,29.8,2.0,4.8,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,14.9,0,budget
Resort Hotel — booking 23609,hotel,PRT,85.33,3.0,3.2,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,28.44333333333333,0,budget
City Hotel — booking 105817,hotel,CHE,98.0,2.0,4.6,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,49.0,1,mid-range
City Hotel — booking 77597,hotel,PRT,67.0,2.0,4.7,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,33.5,0,budget
Resort Hotel — booking 9837,hotel,IRL,37.8,7.0,4.8,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,5.3999999999999995,0,budget
City Hotel — booking 43901,hotel,PRT,170.0,5.0,4.3,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,34.0,1,mid-range
City Hotel — booking 46321,hotel,PRT,70.0,5.0,4.6,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,14.0,0,budget
Resort Hotel — booking 2373,hotel,PRT,36.05,7.0,4.8,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,5.1499999999999995,0,budget
City Hotel — booking 50557,hotel,PRT,90.0,4.0,4.8,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,22.5,0,budget
City Hotel — booking 82004,hotel,PRT,70.0,2.0,4.4,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,35.0,0,budget
City Hotel — booking 99010,hotel,SWE,100.8,3.0,4.5,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,33.6,1,mid-range
Resort Hotel — booking 2404,hotel,RUS,56.52,5.0,4.8,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,11.304,0,budget
City Hotel — booking 87587,hotel,PRT,101.0,1.0,4.8,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,101.0,1,mid-range
Resort Hotel — booking 14086,hotel,,42.0,2.0,4.8,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,21.0,0,budget
City Hotel — booking 109986,hotel,CHE,108.0,4.0,4.9,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,27.0,1,mid-range
City Hotel — booking 102895,hotel,IRL,72.38,2.0,4.8,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,36.19,0,budget
City Hotel — booking 62076,hotel,PRT,65.0,2.0,4.0,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,32.5,0,budget
Resort Hotel — booking 2783,hotel,PRT,36.0,1.0,4.5,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,36.0,0,budget
Resort Hotel — booking 28818,hotel,GBR,75.0,1.0,4.7,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,75.0,1,mid-range
City Hotel — booking 111670,hotel,ITA,183.0,3.0,4.5,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,61.0,2,premium
City Hotel — booking 60441,hotel,DEU,88.0,2.0,4.6,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,44.0,1,mid-range
City Hotel — booking 77131,hotel,PRT,65.0,3.0,3.5,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,21.666666666666668,0,budget
City Hotel — booking 101316,hotel,ISR,146.03,4.0,3.9,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,36.5075,1,mid-range
City Hotel — booking 104267,hotel,ESP,91.33,3.0,4.5,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,30.44333333333333,0,budget
City Hotel — booking 44800,hotel,FRA,103.5,3.0,4.9,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,34.5,1,mid-range
City Hotel — booking 107253,hotel,DEU,54.71,4.0,4.6,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,13.6775,0,budget
City Hotel — booking 69809,hotel,PRT,110.0,2.0,4.2,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,55.0,1,mid-range
City Hotel — booking 117431,hotel,PRT,166.0,1.0,4.7,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,166.0,2,premium
City Hotel — booking 70940,hotel,PRT,115.0,2.0,4.5,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,57.5,1,mid-range
City Hotel — booking 42591,hotel,PRT,76.08,5.0,3.2,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,15.216,0,budget
City Hotel — booking 82269,hotel,PRT,67.5,3.0,4.6,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,22.5,0,budget
Resort Hotel — booking 3243,hotel,ESP,49.4,5.0,4.2,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,9.879999999999999,0,budget
City Hotel — booking 60669,hotel,PRT,52.0,2.0,3.9,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,26.0,0,budget
City Hotel — booking 65809,hotel,FIN,159.68,7.0,4.2,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,22.81142857142857,1,mid-range
City Hotel — booking 72464,hotel,PRT,195.0,1.0,4.2,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,195.0,2,premium
City Hotel — booking 103446,hotel,FRA,126.0,3.0,4.5,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,42.0,1,mid-range
City Hotel — booking 95958,hotel,PRT,106.75,5.0,4.6,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,21.35,1,mid-range
Resort Hotel — booking 24166,hotel,PRT,67.0,2.0,4.5,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,33.5,0,budget
City Hotel — booking 114804,hotel,DEU,122.4,2.0,3.9,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,61.2,1,mid-range
Resort Hotel — booking 19298,hotel,GBR,46.0,1.0,4.7,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,46.0,0,budget
City Hotel — booking 60509,hotel,DEU,90.63,7.0,3.8,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,12.947142857142856,0,budget
City Hotel — booking 93094,hotel,PRT,77.0,2.0,3.5,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,38.5,0,budget
Resort Hotel — booking 39509,hotel,PRT,177.5,7.0,4.9,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,25.357142857142858,1,mid-range
Resort Hotel — booking 38958,hotel,CN,178.75,3.0,4.4,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,59.583333333333336,2,premium
City Hotel — booking 100386,hotel,FRA,85.0,4.0,3.5,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,21.25,0,budget
City Hotel — booking 105226,hotel,PRT,118.0,1.0,4.6,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,118.0,1,mid-range
City Hotel — booking 75117,hotel,PRT,170.0,3.0,4.1,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,56.666666666666664,2,premium
Resort Hotel — booking 25083,hotel,USA,109.0,1.0,3.5,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,109.0,1,mid-range
Resort Hotel — booking 27900,hotel,PRT,130.0,5.0,4.1,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,26.0,1,mid-range
City Hotel — booking 91488,hotel,NLD,126.9,4.0,4.5,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,31.725,1,mid-range
City Hotel — booking 106993,hotel,BRA,109.3,5.0,4.5,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,21.86,1,mid-range
City Hotel — booking 91924,hotel,PRT,65.0,3.0,3.9,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,21.666666666666668,0,budget
City Hotel — booking 99792,hotel,DEU,139.0,2.0,4.9,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,69.5,1,mid-range
City Hotel — booking 43844,hotel,PRT,170.0,5.0,4.5,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,34.0,1,mid-range
City Hotel — booking 42507,hotel,FRA,75.0,2.0,4.9,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,37.5,0,budget
Resort Hotel — booking 22542,hotel,ESP,80.0,1.0,4.9,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,80.0,1,mid-range
City Hotel — booking 66371,hotel,FRA,214.0,3.0,4.2,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,71.33333333333333,2,premium
City Hotel — booking 91410,hotel,FRA,168.5,5.0,4.5,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,33.7,1,mid-range
City Hotel — booking 101503,hotel,USA,104.0,2.0,4.4,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,52.0,1,mid-range
Resort Hotel — booking 20977,hotel,ESP,58.0,1.0,4.6,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,58.0,0,budget
City Hotel — booking 105225,hotel,ESP,80.0,1.0,4.1,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,80.0,1,mid-range
City Hotel — booking 68602,hotel,PRT,160.0,2.0,4.6,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,80.0,2,premium
City Hotel — booking 89957,hotel,BRA,109.0,2.0,4.9,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,54.5,1,mid-range
Resort Hotel — booking 2727,hotel,CHE,65.19,7.0,4.7,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,9.312857142857142,0,budget
City Hotel — booking 117295,hotel,PRT,65.0,2.0,4.7,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,32.5,0,budget
City Hotel — booking 99939,hotel,GBR,135.0,3.0,4.2,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,45.0,1,mid-range
Resort Hotel — booking 22178,hotel,DEU,38.0,5.0,4.8,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,7.6,0,budget
City Hotel — booking 50024,hotel,PRT,85.0,3.0,4.9,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,28.333333333333332,0,budget
City Hotel — booking 68130,hotel,PRT,95.0,4.0,4.9,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,23.75,0,budget
City Hotel — booking 40828,hotel,FRA,76.5,2.0,3.5,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,38.25,0,budget
Resort Hotel — booking 21108,hotel,PRT,40.0,2.0,4.9,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,20.0,0,budget
City Hotel — booking 44903,hotel,,65.0,3.0,4.6,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,21.666666666666668,0,budget
Resort Hotel — booking 9058,hotel,ESP,60.0,3.0,4.6,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,20.0,0,budget
City Hotel — booking 106577,hotel,DEU,67.15,6.0,4.4,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,11.191666666666668,0,budget
Resort Hotel — booking 34445,hotel,PRT,57.8,25.0,4.5,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,2.312,0,budget
Resort Hotel — booking 19343,hotel,PRT,38.0,1.0,4.0,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,38.0,0,budget
City Hotel — booking 87231,hotel,FRA,115.6,5.0,4.7,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,23.119999999999997,1,mid-range
City Hotel — booking 115490,hotel,AUT,115.0,2.0,4.3,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,57.5,1,mid-range
City Hotel — booking 51916,hotel,AUT,110.0,3.0,4.7,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,36.666666666666664,1,mid-range
City Hotel — booking 105359,hotel,GBR,84.38,4.0,4.6,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,21.095,0,budget
City Hotel — booking 52259,hotel,PRT,62.0,2.0,4.5,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,31.0,0,budget
City Hotel — booking 112016,hotel,BEL,89.1,5.0,4.7,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,17.82,0,budget
City Hotel — booking 69674,hotel,PRT,89.1,4.0,3.8,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,22.275,0,budget
City Hotel — booking 64382,hotel,JPN,97.2,3.0,4.8,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,32.4,1,mid-range
City Hotel — booking 106607,hotel,CHE,93.6,3.0,4.6,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,31.2,1,mid-range
Resort Hotel — booking 19828,hotel,PRT,0.0,1.0,4.6,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,0.0,0,budget
City Hotel — booking 113277,hotel,BEL,126.0,3.0,4.4,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,42.0,1,mid-range
City Hotel — booking 46700,hotel,GBR,80.3,1.0,3.8,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,80.3,1,mid-range
City Hotel — booking 81077,hotel,PRT,65.0,1.0,4.4,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,65.0,0,budget
City Hotel — booking 76917,hotel,PRT,170.0,6.0,4.4,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,28.333333333333332,1,mid-range
City Hotel — booking 67913,hotel,PRT,130.0,2.0,4.8,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,65.0,1,mid-range
City Hotel — booking 89769,hotel,GBR,89.25,4.0,3.2,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,22.3125,0,budget
City Hotel — booking 61021,hotel,PRT,90.0,3.0,4.6,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,30.0,0,budget
City Hotel — booking 91823,hotel,SRB,95.0,2.0,4.7,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,47.5,1,mid-range
Resort Hotel — booking 33116,hotel,GBR,79.31,2.0,4.9,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,39.655,0,budget
City Hotel — booking 93452,hotel,CHE,225.36,3.0,4.9,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,75.12,2,premium
Resort Hotel — booking 17003,hotel,FRA,59.0,2.0,4.3,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,29.5,0,budget
Resort Hotel — booking 23241,hotel,PRT,35.0,1.0,4.9,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,35.0,0,budget
Resort Hotel — booking 33649,hotel,PRT,65.0,4.0,4.5,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,16.25,0,budget
Resort Hotel — booking 33965,hotel,PRT,35.0,1.0,4.4,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,35.0,0,budget
City Hotel — booking 80415,hotel,PRT,90.0,2.0,4.5,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,45.0,1,mid-range
City Hotel — booking 41378,hotel,ESP,62.0,4.0,4.6,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,15.5,0,budget
Resort Hotel — booking 2221,hotel,MEX,43.12,1.0,4.4,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,43.12,0,budget
City Hotel — booking 70237,hotel,BRA,139.0,3.0,4.9,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,46.333333333333336,1,mid-range
City Hotel — booking 74670,hotel,PRT,60.0,2.0,3.9,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,30.0,0,budget
Resort Hotel — booking 1425,hotel,PRT,189.86,7.0,4.4,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,27.122857142857146,2,premium
Resort Hotel — booking 7885,hotel,GBR,234.0,4.0,4.3,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,58.5,2,premium
City Hotel — booking 98721,hotel,DEU,118.8,1.0,5.0,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,118.8,1,mid-range
City Hotel — booking 64520,hotel,FRA,74.8,4.0,4.6,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,18.7,0,budget
Resort Hotel — booking 29537,hotel,PRT,38.0,1.0,4.3,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,38.0,0,budget
City Hotel — booking 71804,hotel,PRT,110.0,5.0,4.6,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,22.0,1,mid-range
City Hotel — booking 94717,hotel,FRA,135.9,2.0,4.2,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,67.95,1,mid-range
City Hotel — booking 81328,hotel,ESP,62.8,3.0,4.6,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,20.933333333333334,0,budget
City Hotel — booking 112603,hotel,FRA,138.6,2.0,4.8,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,69.3,1,mid-range
City Hotel — booking 105537,hotel,ISR,77.0,8.0,4.3,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,9.625,0,budget
City Hotel — booking 41135,hotel,BEL,90.0,4.0,4.3,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,22.5,0,budget
City Hotel — booking 110626,hotel,GBR,99.0,1.0,4.3,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,99.0,1,mid-range
Resort Hotel — booking 14039,hotel,,110.0,69.0,3.5,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,1.5942028985507246,1,mid-range
City Hotel — booking 75607,hotel,PRT,101.5,2.0,4.9,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,50.75,1,mid-range
City Hotel — booking 64016,hotel,PRT,75.0,3.0,3.5,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,25.0,0,budget
City Hotel — booking 80734,hotel,PRT,50.0,3.0,4.6,kaggle:hotel_booking_demand,,0.0,0.0,0.0,1.0,16.666666666666668,0,budget
